STOREID,STREET,CITY,PROV,LAT,LONG
103306,76 Grenville Street,Toronto,ON,43.661216,-79.387612
102871,101 College Street,Toronto,ON,43.660266,-79.388424
102283,844 Don Mills Rd,Toronto,ON,43.723,-79.33967
102195,250 Bloor St E,Toronto,ON,43.67159,-79.38054
102560,200 Bloor St. E,Toronto,ON,43.671304,-79.381832
103065,700 University Avenue,Toronto,ON,43.659652,-79.390801
103482,175 Bloor Street East,Toronto,ON,43.671185,-79.382393
103217,56 Wellesley Street West,Toronto,ON,43.66455,-79.38754
103286,1571 Sandhurst Circle,Toronto,ON,43.81038,-79.271379
102657,477 Dundas St W,Toronto,ON,43.653174,-79.396933
104275,720 King St. West,Toronto,ON,43.643844,-79.40408
102801,99 Wellesly Street W,Toronto,ON,43.66316,-79.39265
103342,659 Queen Street West,Toronto,ON,43.64696,-79.4052
102162,769 Yonge St,Toronto,ON,43.671143,-79.387033
100451,1 King's College Cir.,Toronto,ON,43.66096,-79.3949
100788,1170 Bay St,Toronto,ON,43.669135,-79.389247
103257,50 Bloor Street West,Toronto,ON,43.670138,-79.388698
104853,85 Laird Dr.,Toronto,ON,43.705297,-79.361443
104395, 210 Princes Boulevard,Toronto,ON,43.632368,-79.418343
102385,952 King St W,Toronto,ON,43.642038,-79.412
103124,455 Spadina Avenue,Toronto,ON,43.65794,-79.39995
103012,100 St. George Street,Toronto,ON,43.662608,-79.397815
102491,750 Dundas St W,Toronto,ON,43.6523,-79.40602
102249,399 Bathurst St,Toronto,ON,43.6537,-79.406578
102634,939 Eglinton Ave E,Toronto,ON,43.714297,-79.359809
102224,246 Bloor St W,Toronto,ON,43.66801,-79.39735
103261,5975 Steeles Ave E,Toronto,ON,43.832654,-79.266443
102746,150 Don Mills Road,Toronto,ON,43.736838,-79.345086
102726,5641 Steeles Ave. E,Toronto,ON,43.83195,-79.27133
104970,1033 Queen St. W,Toronto,ON,43.643719,-79.421249
102582,334 Bloor St W,Toronto,ON,43.66664,-79.40385
